"Categoria","Palabra","web",
Accidente geográfico,cuchu [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#cuchu,
Accidente geográfico,Cuychacolla [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cuychacolla,
Accidente geográfico,Cuysa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cuysa,
Accidente geográfico,Gallasa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#gallasa,
Accidente geográfico,Guachuacirca [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#guachuacirca,
Accidente geográfico,Guacirana [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#guacirana,
Accidente geográfico,Guallallo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guallallo,
Accidente geográfico,Guamani [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guamani,
Accidente geográfico,Guamaní [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guamaní,
Accidente geográfico,Guanacauri [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guanacauri,
Accidente geográfico,Guariguaca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guariguaca,
Accidente geográfico,Guasaynan [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guasaynan,
Accidente geográfico,Guaubia [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#guaubia,
Accidente geográfico,Guayoay uilca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guayoay uilca,
Accidente geográfico,Guaypon [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guaypon,
Accidente geográfico,Guica [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guica,
Accidente geográfico,Hambato [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hambato,
Accidente geográfico,Hanan Chaca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hanan chaca,
Accidente geográfico,Hurinchaca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hurinchaca,
Accidente geográfico,ingres [Pedro Sancho] ,https://glosascroniquenses.github.io/Glosario/autores/cronista25/#ingres,
Accidente geográfico,Ixitoc [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ixitoc,
Accidente geográfico,Jaqui [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#jaqui,
Accidente geográfico,Jorai [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#jorai,
Accidente geográfico,Lima [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#lima,
Accidente geográfico,Llanganati [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#llanganati,
Accidente geográfico,Luhutare [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#luhutare,
Accidente geográfico,Mallacleui [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mallacleui,
Accidente geográfico,Mataras [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mataras,
Accidente geográfico,Mollotoro [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mollotoro,
Accidente geográfico,Muyllucamac [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#muyllucamac,
Accidente geográfico,Namuday [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#namuday,
Accidente geográfico,Oyñacaca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#oyñacaca,
Accidente geográfico,Pacaritambo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#pacaritambo,
Accidente geográfico,pampa [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#pampa,
Accidente geográfico,Pariacaca [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#pariacaca,
Accidente geográfico,Pilco puquio [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#pilco puquio,
Accidente geográfico,Piticancha [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#piticancha,
Accidente geográfico,Pongo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#pongo,
Accidente geográfico,Puna [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#puna,
Accidente geográfico,puna/punas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#puna/punas,
Accidente geográfico,puna/punas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#puna/punas,
Accidente geográfico,Putina [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#putina,
Accidente geográfico,quichua [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#quichua,
Accidente geográfico,Quichuas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#quichuas,
Accidente geográfico,quichuas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#quichuas,
Accidente geográfico,Quixurarvilca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#quixurarvilca,
Accidente geográfico,Reuisse [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#reuisse,
Accidente geográfico,Runcari [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#runcari,
Accidente geográfico,salca [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#salca,
Accidente geográfico,salca/xalca [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#salca/xalca,
Accidente geográfico,Salcatay [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#salcatay,
Accidente geográfico,Sañoc ancauilca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sañoc ancauilca,
Accidente geográfico,Sasaylla apo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sasaylla apo,
Accidente geográfico,Sausiray [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sausiray,
Accidente geográfico,Saysapa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#saysapa,
Accidente geográfico,Sico cayan [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sico cayan,
Accidente geográfico,Sulcauilca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sulcauilca,
Accidente geográfico,Sulimana [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sulimana,
Accidente geográfico,Suparaura [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#suparaura,
Accidente geográfico,Tambo Toco [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tambo toco,
Accidente geográfico,Timpay [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#timpay,
Accidente geográfico,Tucapuc [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tucapuc,
Accidente geográfico,Tuguraua [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tuguraua,
Accidente geográfico,Uicoala [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uicoala,
Accidente geográfico,Uirco [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uirco,
Accidente geográfico,Uisiguiumai [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uisiguiumai,
Accidente geográfico,Uiticos [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uiticos,
Accidente geográfico,Urpai guachac [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#urpai guachac,
Accidente geográfico,Utaran [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#utaran,
Accidente geográfico,Uullotoa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uullotoa,
Accidente geográfico,Yamoc [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yamoc,
Accidente geográfico,Yañoc [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yañoc,
Accidente geográfico,Yarouilca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yarouilca,
Accidente geográfico,Yllinca [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yllinca,
Accidente geográfico,Yungas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#yungas,
Administración,almacenes [Pedro Sancho] ,https://glosascroniquenses.github.io/Glosario/autores/cronista25/#almacenes,
Administración,Andesuyo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#andesuyo,
Administración,Atabaliba [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#atabaliba,
Administración,Atahualpa Inga [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#atahualpa inga,
Administración,ayllo/ayllos [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ayllo/ayllos,
Administración,ayllo/ayllos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#ayllo/ayllos,
Administración,ayllo/ayllos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#ayllo/ayllos,
Administración,cacicazgo/cacicazgos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#cacicazgo/cacicazgos,
Administración,cacicazgos [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cacicazgos,
Administración,cacique principal [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#cacique principal,
Administración,cacique/caciques [Pedro Sancho] ,https://glosascroniquenses.github.io/Glosario/autores/cronista25/#cacique/caciques,
Administración,cacique/caciques [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#cacique/caciques,
Administración,cacique/caciques [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#cacique/caciques,
Administración,cacique/caciques [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#cacique/caciques,
Administración,cacique/caciques [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#cacique/caciques,
Administración,camayo/camayos [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#camayo/camayos,
Administración,camino real [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#camino real,
Administración,camino real / caminos reales [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#camino real / caminos reales,
Administración,Caminos [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#caminos,
Administración,Campichez guaranga [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#campichez guaranga,
Administración,cancha [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#cancha,
Administración,Capitán [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#capitán,
Administración,capitan/capitanes [Pedro Sancho] ,https://glosascroniquenses.github.io/Glosario/autores/cronista25/#capitan/capitanes,
Administración,capitan/capitanes [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#capitan/capitanes,
Administración,capitanes [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#capitanes,
Administración,casa [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#casa,
Administración,Cauansibe [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cauansibe,
Administración,Cauansibi [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cauansibi,
Administración,Caxas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#caxas,
Administración,Chile [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chile,
Administración,Chinchaysuyo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chinchaysuyo,
Administración,chuiqui [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#chuiqui,
Administración,ciudad/ciudades [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#ciudad/ciudades,
Administración,ciudad/ciudades [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#ciudad/ciudades,
Administración,Collasuyo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#collasuyo,
Administración,Condesuyo [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#condesuyo,
Administración,curaca/curacas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#curaca/curacas,
Administración,curaca/curacas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#curaca/curacas,
Administración,curacas [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#curacas,
Administración,curacas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#curacas,
Administración,Cusco viejo/Cuzco viejo [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#cusco viejo/cuzco viejo,
Administración,Cuzco [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#cuzco,
Administración,Cuzco [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cuzco,
Administración,gobernadores [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#gobernadores,
Administración,guacamayos [sic: guaca camayos] [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guacamayos [sic: guaca camayos],
Administración,Hanan [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hanan,
Administración,Hanan Guanca [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hanan guanca,
Administración,Hanan Guancas  [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hanan guancas ,
Administración,Hanansaya [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hanansaya,
Administración,Hátun Xauxa [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hátun xauxa,
Administración,haziendas  [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#haziendas ,
Administración,hurin [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hurin,
Administración,Hurin Guanca [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hurin guanca,
Administración,Hurin Guancas / Huringuancas [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hurin guancas / huringuancas,
Administración,hurinsaya [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hurinsaya,
Administración,Inca/Inga/Incas [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#inca/inga/incas,
Administración,indias [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#indias,
Administración,Indias [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#indias,
Administración,indios [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#indios,
Administración,indios tributarios [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#indios tributarios,
Administración,Inga/Ingas [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#inga/ingas,
Administración,ingas/ynga/yngas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ingas/ynga/yngas,
Administración,lengua/lenguas'' [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#lengua/lenguas'',
Administración,Lurinrucana/Lurin Lucana [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#lurinrucana/lurin lucana,
Administración,marca [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#marca,
Administración,marca [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#marca,
Administración,memoria [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#memoria,
Administración,mensajero/mensajeros [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#mensajero/mensajeros,
Administración,mitimas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mitimas,
Administración,moyas [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#moyas,
Administración,parcialidad/parcialidades [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#parcialidad/parcialidades,
Administración,parcialidad/parcialidades [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#parcialidad/parcialidades,
Administración,principal/principales [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#principal/principales,
Administración,principal/principales [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#principal/principales,
Administración,principal/principales [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#principal/principales,
Administración,principales [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#principales,
Administración,principales [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#principales,
Administración,Provincia [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#provincia,
Administración,provincia/provincias [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#provincia/provincias,
Administración,provincia/provincias [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#provincia/provincias,
Administración,provincia/provincias [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#provincia/provincias,
Administración,pueblo/pueblos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#pueblo/pueblos,
Administración,reino [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#reino,
Administración,reino/reinos [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#reino/reinos,
Administración,reino/reinos [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#reino/reinos,
Administración,reino/reinos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#reino/reinos,
Administración,repartimiento/repartimientos [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#repartimiento/repartimientos,
Administración,repartimiento/repartimientos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#repartimiento/repartimientos,
Administración,repartimiento/repartimientos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#repartimiento/repartimientos,
Administración,señor principal [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#señor principal,
Administración,señor/señores [Andrés de Vega] ,https://glosascroniquenses.github.io/Glosario/autores/cronista26/#señor/señores,
Administración,señor/señores [Cristóbal de Albornoz] ,https://glosascroniquenses.github.io/Glosario/autores/cronista01/#señor/señores,
Administración,señor/señores [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#señor/señores,
Administración,señor/señores [Hernando Pizarro] ,https://glosascroniquenses.github.io/Glosario/autores/cronista12/#señor/señores,
Administración,señor/señores [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#señor/señores,
Administración,señorío/señoríos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista24/#señorío/señoríos,
Administración,señorío/señoríos [Luis de Monzón] ,https://glosascroniquenses.github.io/Glosario/autores/cronista27/#señorío/señoríos,
